Title,Price,Rating,Reviews
"레노버 2022 씽크패드 T16 AMD G1 16 라이젠7 Pro 라이젠 6000 시리즈, Thunder Black, 256GB, 16GB, WIN11 Pro, 21CHS00800","1,484,100",5.0,3
"한성컴퓨터 2022 TFG 노트북 17.3 코어i7 인텔 12세대 지포스 RTX 3070 Ti, Black, 500GB, 16GB, Free DOS, TFG7277XG","1,857,840",4.5,3
"디지티 프리미엄 노트북 거치대, 메탈블랙","20,170",4.5,143
"힐링쉴드 노트북 올레포빅 Light 액정보호필름, 1개","8,760",5.0,2
"델 2022 Alienware X14 코어i7 인텔 12세대 지포스 RTX 3050 Ti, Lunar Light, 1TB, 16GB, WIN11 Pro, DAWX14-WP02KR","2,833,850",5.0,1
"레노버 2022 씽크패드 Z13 G1 13.3 라이젠7 Pro 라이젠 6000 시리즈, Black (Top) + Black (Bottom), 512GB, 16GB, WIN11 Pro, 21D2000FKR","1,579,090",5.0,4
"카라스 삼성 NT940X5M NT940X5N 시리즈용 노트북 클린스킨, 1개","5,080",5.0,4
"레노버 2022 씽크패드 X1 요가 13.5 코어i7 인텔 11세대, 티타늄, 512GB, 16GB, WIN10 Pro, 20QA00ACKR","2,057,020",5.0,1
"HP 2023 노트북 255 G10 15.6 라이젠5 라이젠 7000 시리즈, 실버, 256GB, 8GB, Free DOS, 8L8J5PA","589,000",5.0,161
"LG그램 그램15 15Z960 (i5-6200U/i7-6500U/Win10 Pro) 15인치 노트북 [디에스컴], 다크 실버, 14Z970, I7, 256GB, 16GB, WIN10 PRO","488,000",4.5,85
"아우크웨이 16 노트북 12GB+512GB 인텔 N5095(최대 2.9Ghz) 4코어 Win 11 2.5K FHD 스크린(냉각팬 포함) 듀얼 WiFi 지원 1TB SSD 확장-빨간, WIN11 Pro, 빨간색, 12GB, 512GB, A6","449,000",,0
"네오북 2024 노트북 14.1 셀러론, 핑크, 128GB, 6GB, WIN11 Home, N14GO","259,000",3.0,2
"레노버 2023 아이디어패드 슬림 3 16ABR8 16 라이젠5 라이젠 7000 시리즈, Arctic Grey (82XR), 256GB, 16GB, Free DOS, 82XR000HKR","591,200",5.0,244
"레노버 2023 아이디어패드 슬림 3 15ABR8 15.6 라이젠7 라이젠 7000 시리즈, ARCTIC GREY, 256GB, 16GB, Free DOS, 82XM0036KR","689,000",5.0,142
"HP 2023 노트북 470 G10 17.3, Silver, 512GB, 16GB, Free DOS, G10-88F04PC","710,600",5.0,1
"아우크웨이 14 노트북 8GB+256GB 인텔 N5095(최대 2.9Ghz) 4코어 Win 11 2K FHD 스크린(냉각팬 포함) 듀얼 WiFi 지원 1TB SSD 확장-블루, WIN11 Pro, 블루, 8GB, 256GB, A7","419,000",,0
"에이서 2023 스위프트 엣지 16 OLED, 블랙, 512GB, 32GB, Free DOS, SFE16-43-R8ZU","1,249,000",4.5,51
"레노버 2023 V15 G4 코어i5 인텔 13세대, Iron Gray, 256GB, 16GB, Free DOS, 83A10001KR","656,240",5.0,55
"HP 2024 빅터스 16 라이젠5 라이젠 8000 시리즈 지포스 RTX 4060, Mica Silver, 512GB, 16GB, Win11 Home, 16-s1038AX","1,525,270",5.0,18
"Apple 2020 맥북 에어 13, 스페이스 그레이, M1, 256GB, 8GB, A2337","979,000",5.0,13037
"아우크웨이 14 노트북 8GB+256GB 인텔 N5095(최대 2.9Ghz) 4코어 Win 11 2K FHD 스크린(냉각팬 포함) 듀얼 WiFi 지원 1TB SSD 확장-분홍색, WIN11 Pro, 분홍색, 8GB, 256GB, A7","419,000",,0
"HP 2023 빅터스 15 코어i5 인텔 12세대 지포스 RTX 4050, Mica Silver, 512GB, 16GB, Free DOS, 15-fa1108TX","1,138,500",5.0,480
"삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10, WIN10, 4GB, 128GB, 블랙","150,000",4.0,11
"레노버 2024 씽크북 16IML G7 ULT5 코어Ultra5, Arctic Grey, 1TB, 32GB, Free DOS, 21MS006WKR","1,053,490",5.0,4
"레노버 2024 요가 슬림 7 14IMH9 코어Ultra7 인텔 14세대, Luna Grey, 1TB, 32GB, Free DOS, 83CV0025KR","1,449,000",5.0,5
"아우크웨이 16 노트북 12GB+512GB 인텔 N5095(최대 2.9Ghz) 4코어 Win 11 2.5K FHD 스크린(냉각팬 포함) 듀얼 WiFi 지원 1TB SSD 확장-보라, WIN11 Pro, 보라, 12GB, 512GB, A6","449,000",,0
"베이직스 2022 베이직북 14 3세대 셀러론, White, 256GB, 8GB, WIN11 Pro, BB1422SS","382,080",4.5,2083
"레노버 2024 아이디어패드 슬림 5 16IMH OLED 코어Ultra7 인텔 14세대, 클라우드 그레이, 1TB, 32GB, Free DOS, 83DC002TKR","1,239,000",5.0,8
"HP 2023 오멘 16 라이젠7 라이젠 7000 시리즈 지포스 RTX 4060, 쉐도우 블랙, 512GB, 16GB, WIN11 Home, 16-xf0052AX","1,849,890",5.0,483
"LG전자 그램 Pro 16 코어 울트라5 RTX3050, 에센스 화이트, 256GB, 16GB, WIN11 Home, 16Z90SP-EA5CK","2,099,000",5.0,68
"레노버 2024 아이디어패드 슬림 5 14AHP9 라이젠7 라이젠 8000 시리즈, CLOUD GREY, 512GB, 16GB, Free DOS, 83DB003AKR","1,049,000",5.0,1
"HP 2023 빅터스 15 코어i5 인텔 13세대 지포스 RTX 4050, Mica Silver, 512GB, 16GB, Free DOS, 15-fa1014TX","1,085,880",5.0,142
"삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10, WIN10, 4GB, 256GB, 블랙","170,000",4.0,11
"빅트랙 브이북 15.6 셀러론, Space Silver, 512GB, 8GB, Windows 11 HOME, VIC-LPTP01","359,000",5.0,43
"아이뮤즈 2020 스톰북 14.1 셀러론, White, 64GB, 4GB, WIN11 Home, StormBooK14","193,030",4.0,325
"레노버 2024 씽크북 16IML G7 ULT5 코어Ultra5, Arctic Grey, 1TB, 16GB, Free DOS, 21MS006WKR","1,164,900",5.0,4
"A급중고 레노버 ThinkPad T480 I5-8350U/16G/SSD256GB/UHD620/14인치/WIN10, 블랙, 코어i5, 256GB, 16GB, WIN10 Pro","299,000",5.0,2
삼성 게이밍북 NT371B5J I5-4310M/8G/SSD256G/G820M/15.6/WIN10,"229,000",4.0,53
삼성 게이밍북 NT371B5J I5-4310M/8G/SSD256G/G820M/15.6/WIN10,"229,000",4.0,53
"델 2023 인스피론 15 3535 라이젠3 라이젠 7000 시리즈, 카본 블랙, 512GB, 8GB, WIN11 Home, DN3535-W003KR","549,000",4.5,22
"레노버 2024 씽크북 16IML G7 ULT7 코어Ultra7, Arctic Grey, 1536GB, 16GB, Free DOS, 21MS006TKR","1,404,000",5.0,3
"네오북 2024 노트북 14.1 셀러론, 화이트, 128GB, 6GB, WIN11 Home, N14GO","259,000",3.0,2
"레노버 USB C타입 65W 노트북 일체형 충전기 어댑터, GX21L58566",,5.0,2
"LG 그램 15.6인치 i5 6세대 SSD장착 윈11 프로, 15Z960, WIN11 Pro, 8GB, 512GB","429,000",,0
"삼성노트북 NT301E5C-A i5 DDR3 8G SSD 128G 윈10, WIN10, 8GB, 128GB, 블랙","170,000",4.0,11
"HP 2023 노트북 250 G10 15.6 코어i5 인텔 13세대, 블랙, 512GB, 16GB, Free DOS, G10-9F173PT","766,250",,0
[대여] 삼성전자 노트북플러스2 대학생인강용노트북 렌탈 임대 - 30일,"60,000",5.0,1
"삼성 15.6인치 12세대 갤럭시북2 윈도우11 프로, NT550XEZ, WIN11 Pro, 8GB, 256GB","629,000",5.0,39
대용량 SSD512G탑재! 가볍고 슬림한 삼성전자 노트북9 (코어i5 RAM 8G SSD 512G 무게1.29kg 15.6인치 윈도우10 실버),"398,000",4.5,41
"레노버 2022 아이디어패드 슬림 1 15AMN7 15.6 라이젠3 라이젠 7000 시리즈, Cloud Grey (82VG), 256GB, 8GB, WIN11 Home, 82VG002FKR","530,000",5.0,1377
"레노버 2024 씽크북 14IML G7 ULT5 코어Ultra5, Arctic Grey, 2560GB, 16GB, Free DOS, 21MR006CKR","1,311,950",5.0,2
"삼성 NT371B5J 지포스2G 그래픽 i7 16G 512G Win10, WIN10 Pro, 16GB, 512GB, 코어i7, 혼합색상","369,000",4.0,231
"삼성전자 갤럭시북 15.6 재택근무 학습용 노트북 한컴오피스팩 및 국내 정품 윈도우 패키지 동봉, NT550-I5, WIN11 Home, 8GB, 250GB, 코어i5, 그라파이트","829,000",5.0,2246
"아이뮤즈 2020 스톰북 14.1 셀러론, White, 64GB, 4GB, Free DOS, StormBooK14","188,100",4.0,325
"[도시바 Z30-C] 노트북 인텔 6세대 i7-6600 8G SSD256G 윈10 13.3인치 터치북, Z30-C, WIN10 Pro, 8GB, 256GB, 코어i7, 밤색","248,000",5.0,1
"레노버 2024 아이디어패드 프로 5 16AHP9 라이젠7 라이젠 8000 시리즈 지포스 RTX 4050, Arctic Grey, 1TB, 32GB, Win11 Home, IdeaPad PRO5 16AHP9","1,860,770",5.0,2
"LG 8세대 GRAM 14Z980 코어i5 16GB SSD256GB Win10, 4. 14Z980, WIN10 Home, 8GB, 256GB","498,000",4.5,450
"삼성 NT901X3L i5 8G 128G Win10 중고노트북, WIN10 Home, 8GB, 128GB, 코어i5, 아이언실버","264,000",4.5,42
"LG 울트라PC 15UB470 i7 16G 512G 지포스그래픽 Win10, WIN10 Home, 16GB, 512GB, 코어i7, 화이트","499,000",4.5,2
"LG전자 울트라PC 15인치 2023 최신 RAM 8GB SSD 256GB 윈도우11, 15UD40R-GX56K, WIN11 Home, 라이젠5, 화이트","659,000",5.0,18
"레노버 ThinkPad E585 Ryzen5 2500U 16G 신품SSD512GB 웹캠 윈10정품, WIN10, 16GB, 512GB, 블랙","479,000",,0
"삼성 갤럭시북 이온 NT951XCJ 10세대 15인치 (i5-10210U/16G(기본8G+추가8G)/SSD256G/Win 10Pro), 노트북 컴퓨터 / NT951XCJ, WIN10 Pro, 16GB, 256GB, 아우라실버","599,000",5.0,2
